GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java,com.classuml.Model,UMLDiagram,690,661,106,58,176,151,83,46,17,30
java,com.classuml.Model,Memento,61,76,6,4,17,20,8,8,4,7
java,com.classuml.Model,Method,161,16,28,0,31,5,24,2,10,2
java,com.classuml.Model,Relationship,55,21,10,0,24,8,14,4,6,4
java,com.classuml.Model,Field,6,5,0,0,3,2,1,1,1,1
java,com.classuml.Model,FieldAndMethodLayOut,6,31,1,1,3,11,2,5,1,5
java,com.classuml.Model,Parameter,11,0,0,0,3,0,2,0,2,0
java,com.classuml.Model,UMLClass,511,327,128,52,127,67,103,23,21,15
java,com.classuml.View,guiView.new MouseAdapter() {...},17,0,0,0,5,0,3,0,3,0
java,com.classuml.View,guiView.new MouseMotionListener() {...},12,0,0,0,4,0,3,0,3,0
java,com.classuml.View,guiView,550,0,28,0,114,0,32,0,18,0
java,com.classuml.Controller,UMLEditor,35,0,6,0,10,0,5,0,2,0
java,com.classuml.Controller,UMLCli,1508,0,109,0,455,0,96,0,30,0
java,com.classuml.Controller,UMLGui,3187,0,290,0,737,0,194,0,39,0
